ONET Title	R	I	A	S	E	C
Public Address System and Other Announcers	1.67	1.0	4.0	6.0	5.67	2.0
Broadcast News Analysts	1.33	4.0	6.33	5.0	4.67	2.33
Reporters and Correspondents	1.67	4.0	6.33	2.67	4.33	3.0
Public Relations Specialists	1.0	2.0	5.0	4.67	7.0	3.0
Editors	1.33	2.0	6.33	2.0	6.0	4.0
Technical Writers	1.33	4.33	6.33	1.33	2.67	3.67
Copy Writers	1.67	3.0	6.33	2.33	6.67	3.0
Poets, Lyricists and Creative Writers	1.67	5.0	7.0	2.33	3.67	2.0
Interpreters and Translators	1.33	3.33	6.0	5.33	2.0	3.67
Audio and Video Equipment Technicians	7.0	5.0	3.33	1.0	1.67	4.67
Broadcast Technicians	7.0	4.33	1.67	1.67	2.0	5.33
Radio Operators	6.33	2.0	1.33	1.0	2.0	4.33
Sound Engineering Technicians	6.67	2.67	5.0	1.0	3.33	3.67
Photographers	4.67	2.0	6.0	2.33	3.33	1.33
Camera Operators, Television, Video, and Motion Picture	6.33	2.67	6.0	2.33	2.33	3.67
Film and Video Editors	2.67	3.67	6.67	1.67	3.67	2.33
Chiropractors	5.33	5.67	2.0	6.0	2.67	2.0
Dentists, General	5.33	7.0	1.67	4.0	2.33	3.0
Oral and Maxillofacial Surgeons	6.0	5.0	1.67	5.67	3.0	2.67
Orthodontists	5.33	7.0	1.67	4.67	3.33	2.33
Prosthodontists	6.0	7.0	2.33	4.0	1.33	3.0
Dietitians and Nutritionists	2.33	6.67	2.33	6.33	4.0	2.0
Optometrists	5.0	6.0	1.0	5.33	3.33	2.67
Pharmacists	3.33	7.0	1.33	4.33	2.67	5.33
Anesthesiologists	5.0	5.33	2.0	5.0	2.67	2.67
Family and General Practitioners	4.0	6.67	2.0	6.0	2.67	2.67
Internists, General	4.33	6.67	2.0	5.33	3.67	2.67
Obstetricians and Gynecologists	5.0	7.0	2.0	6.0	3.67	2.0
Pediatricians, General	3.33	7.0	2.67	6.0	2.33	3.0
Psychiatrists	2.0	7.0	4.33	5.67	2.0	2.67
Surgeons	5.67	6.33	2.33	5.0	3.0	2.67
Allergists and Immunologists	4.67	7.0	3.0	5.67	1.33	1.67
Dermatologists	4.33	7.0	2.33	6.0	2.0	1.67
Hospitalists	3.67	5.0	1.67	6.33	3.0	2.33
Neurologists	4.33	7.0	2.33	5.67	3.0	2.0
Nuclear Medicine Physicians	3.33	5.67	1.33	5.67	2.33	2.67
Ophthalmologists	5.0	7.0	2.0	5.33	2.33	3.0
Pathologists	4.33	6.67	1.67	3.0	1.0	3.33
Physical Medicine and Rehabilitation Physicians	4.0	7.0	3.0	5.67	1.67	2.0
Preventive Medicine Physicians	4.33	6.33	2.67	6.67	2.33	1.67
Radiologists	6.0	6.67	1.67	4.67	1.0	3.0
Sports Medicine Physicians	4.67	6.67	2.33	6.0	1.33	2.0
Urologists	4.67	7.0	2.33	5.33	2.67	2.33
Physician Assistants	4.0	6.33	2.0	6.33	1.67	2.67
Anesthesiologist Assistants	5.33	4.67	1.0	5.0	2.67	2.67
Podiatrists	4.33	7.0	2.0	6.0	2.67	2.0
Occupational Therapists	3.0	4.33	3.33	7.0	3.0	3.67
Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists	4.33	4.67	3.0	7.0	3.0	2.67
Physical Therapists	4.33	5.67	2.33	7.0	2.67	3.0
Radiation Therapists	5.33	3.67	1.0	5.67	1.67	5.0
Recreational Therapists	1.67	3.67	4.67	7.0	3.33	2.33
Art Therapists	1.33	4.0	6.67	7.0	1.67	2.67
Music Therapists	1.33	4.33	6.33	6.33	1.67	2.0
Respiratory Therapists	4.33	5.0	1.33	6.67	2.33	2.67
Speech-Language Pathologists	1.67	6.0	4.33	6.67	2.0	2.33
Exercise Physiologists	4.0	5.33	3.67	6.33	3.33	2.67
Veterinarians	5.67	7.0	2.0	3.67	1.67	2.67
Registered Nurses	3.67	5.67	1.67	7.0	2.0	4.67
Acute Care Nurses	4.33	5.33	2.0	7.0	2.33	1.67
Advanced Practice Psychiatric Nurses	2.33	6.0	3.67	6.67	2.0	2.33
Critical Care Nurses	4.0	4.33	2.67	6.67	3.0	2.67
Clinical Nurse Specialists	2.0	4.0	1.0	5.67	6.67	4.33
Nurse Anesthetists	5.0	6.67	1.67	4.33	1.33	2.67
Nurse Midwives	3.33	4.0	2.33	7.0	3.0	1.33
Nurse Practitioners	4.33	6.0	2.67	6.33	2.33	2.67
Audiologists	2.67	6.67	2.33	6.33	1.67	3.67
Acupuncturists	5.33	5.0	2.33	6.0	2.0	1.67
Naturopathic Physicians	3.33	6.67	4.0	6.33	1.67	1.67
Orthoptists	4.33	6.33	1.67	5.33	2.67	1.67
Medical and Clinical Laboratory Technologists	5.67	7.0	1.67	2.0	2.67	4.67
Cytogenetic Technologists	5.33	6.33	2.33	2.33	2.0	4.33
Cytotechnologists	5.0	6.67	1.67	1.67	1.67	3.33
Histotechnologists and Histologic Technicians	7.0	5.33	1.33	1.33	1.67	4.67
Medical and Clinical Laboratory Technicians	5.67	5.67	1.67	4.0	1.67	4.33
Dental Hygienists	5.67	3.0	1.0	6.0	2.0	3.67
Cardiovascular Technologists and Technicians	5.33	5.33	1.33	5.33	2.33	3.67
Diagnostic Medical Sonographers	5.33	6.0	1.67	5.67	2.67	3.33
Nuclear Medicine Technologists	6.0	6.33	1.33	4.0	1.67	3.67
Radiologic Technologists	6.67	3.67	1.33	5.0	3.0	3.0
Magnetic Resonance Imaging Technologists	5.0	3.33	1.67	3.67	2.33	4.33
Emergency Medical Technicians and Paramedics	4.33	4.67	1.33	6.33	4.0	2.67
Dietetic Technicians	4.0	4.33	1.67	6.33	2.67	2.33
Pharmacy Technicians	5.0	3.0	1.0	3.67	2.67	7.0
Psychiatric Technicians	3.67	3.0	1.67	6.67	3.67	2.67
Respiratory Therapy Technicians	4.67	4.67	1.67	7.0	1.33	4.33
Surgical Technologists	6.0	2.33	1.0	5.0	2.33	4.0
Veterinary Technologists and Technicians	7.0	6.0	1.67	3.0	2.33	3.67
Ophthalmic Medical Technicians	3.67	2.67	1.33	4.33	2.33	5.0
Licensed Practical and Licensed Vocational Nurses	5.0	3.33	1.33	7.0	2.33	3.67
Medical Records and Health Information Technicians	2.0	1.0	1.0	2.33	3.67	7.0
Opticians, Dispensing	4.33	1.67	1.67	4.33	6.33	5.33
Orthotists and Prosthetists	5.0	4.67	2.33	7.0	2.0	2.0
Hearing Aid Specialists	4.0	6.0	1.67	6.0	3.0	2.67
Neurodiagnostic Technologists	6.33	5.0	1.33	3.33	2.67	3.67
Ophthalmic Medical Technologists	4.0	4.0	1.33	3.33	3.67	4.33
Radiologic Technicians	6.33	3.0	1.33	3.67	3.0	4.0
Surgical Assistants	4.0	3.33	1.33	5.0	1.67	6.33
Occupational Health and Safety Specialists	4.0	6.67	1.33	4.0	2.67	5.33
Occupational Health and Safety Technicians	5.0	4.0	1.33	3.33	3.0	7.0
Athletic Trainers	5.33	4.33	2.0	6.67	3.0	1.67
Genetic Counselors	1.0	6.33	4.0	6.67	2.33	2.67
Midwives	3.67	2.67	2.0	7.0	2.67	1.33
Home Health Aides	5.0	2.0	2.0	7.0	2.33	2.67
Psychiatric Aides	4.67	2.33	2.33	7.0	2.0	4.67
Nursing Assistants	4.33	1.67	1.33	6.67	1.67	5.67
Orderlies	5.33	1.0	1.0	3.33	1.33	6.33
Occupational Therapy Assistants	4.33	3.33	3.0	7.0	1.67	2.67
Occupational Therapy Aides	4.67	2.0	2.0	7.0	2.0	3.33
Physical Therapist Assistants	5.33	4.0	1.67	6.67	2.33	2.67
Physical Therapist Aides	5.67	1.67	1.33	6.67	2.33	2.67
Massage Therapists	5.67	3.67	1.67	6.33	2.33	3.0
Dental Assistants	5.67	3.33	1.33	4.67	2.67	6.0
Medical Assistants	4.33	3.0	1.33	6.33	2.33	6.33
Medical Equipment Preparers	6.33	3.67	1.0	2.0	2.0	6.0
Medical Transcriptionists	4.0	3.33	2.33	2.0	2.67	7.0
Pharmacy Aides	4.67	2.67	1.0	3.33	3.33	7.0
Veterinary Assistants and Laboratory Animal Caretakers	6.67	4.0	2.0	4.33	2.0	2.67
Phlebotomists	5.0	4.0	1.0	4.0	2.0	5.67
Speech-Language Pathology Assistants	3.0	3.0	2.0	6.33	2.67	5.67
Endoscopy Technicians	6.67	4.67	1.0	2.33	1.67	4.33
First-Line Supervisors of Correctional Officers	4.67	2.0	1.0	4.0	7.0	5.0
First-Line Supervisors of Police and Detectives	3.67	2.33	1.33	4.67	7.0	4.33
Municipal Fire Fighting and Prevention Supervisors	5.67	2.67	1.33	5.33	7.0	3.0
Forest Fire Fighting and Prevention Supervisors	5.67	3.0	1.0	2.67	7.0	4.0
Municipal Firefighters	7.0	2.33	1.33	5.33	3.67	1.33
Forest Firefighters	7.0	3.67	1.0	4.33	3.0	3.0
Fire Inspectors	6.0	3.33	1.33	3.67	3.67	6.33
Fire Investigators	6.0	6.0	1.33	3.33	3.67	4.67
Forest Fire Inspectors and Prevention Specialists	6.33	3.0	1.0	2.33	4.67	5.67
Bailiffs	6.33	1.67	1.0	2.67	4.67	4.67
Correctional Officers and Jailers	6.67	2.0	1.0	2.67	5.0	4.67
Police Detectives	3.67	5.67	1.33	3.33	5.67	3.67
Police Identification and Records Officers	5.67	4.0	1.33	2.0	3.0	6.33
Criminal Investigators and Special Agents	3.67	5.33	1.33	2.67	6.67	3.67
Immigration and Customs Inspectors	4.67	2.0	1.0	2.33	5.33	6.33
Intelligence Analysts	3.0	6.33	2.33	2.33	4.67	4.67
Fish and Game Wardens	7.0	5.0	1.67	3.67	2.0	3.0
Parking Enforcement Workers	7.0	1.33	1.0	2.67	3.33	5.0
Police Patrol Officers	5.67	2.0	1.0	4.0	5.33	4.33
Sheriffs and Deputy Sheriffs	6.0	2.0	1.33	5.33	6.67	3.0
Transit and Railroad Police	6.67	2.67	1.0	2.0	4.67	4.33
Animal Control Workers	6.67	3.33	1.33	4.0	2.0	4.0
Private Detectives and Investigators	3.67	3.0	1.33	3.33	6.67	5.0
Gaming Surveillance Officers and Gaming Investigators	6.33	2.0	1.33	1.67	4.33	5.67
Security Guards	7.0	2.33	1.33	3.33	4.33	5.33
Crossing Guards	4.0	1.0	1.33	5.67	5.33	2.0
Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	6.33	2.67	1.0	6.0	3.0	2.67
Transportation Security Screeners	5.67	1.67	1.0	2.67	5.67	4.33
Retail Loss Prevention Specialists	3.33	3.33	1.67	1.67	6.0	6.0
Chefs and Head Cooks	5.67	1.33	4.67	3.33	7.0	2.67
First-Line Supervisors of Food Preparation and Serving Workers	4.33	1.33	1.67	3.67	7.0	6.0
Cooks, Fast Food	6.67	1.67	1.0	2.67	3.0	5.67
Cooks, Institution and Cafeteria	6.0	1.0	2.67	3.67	3.67	5.67
Cooks, Private Household	4.67	2.0	6.33	2.67	3.67	4.0
Cooks, Restaurant	6.67	1.33	3.33	2.33	4.0	3.33
Cooks, Short Order	6.67	1.0	2.0	2.67	3.0	5.67
Food Preparation Workers	6.67	1.67	1.33	2.67	2.67	6.0
Bartenders	4.33	1.33	2.0	3.67	5.67	5.67
Combined Food Preparation and Serving Workers, Including Fast Food	5.67	1.0	1.33	3.33	4.0	6.67
Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	5.67	1.0	1.33	5.33	3.67	2.0
Baristas	4.67	1.0	3.33	3.67	4.67	4.67
Waiters and Waitresses	4.33	1.0	2.33	5.67	5.33	5.0
Food Servers, Nonrestaurant	4.33	1.0	1.33	6.33	4.0	2.67
Dining Room and Cafeteria Attendants and Bartender Helpers	7.0	1.33	1.0	3.67	2.67	4.67
Dishwashers	7.0	1.33	1.0	1.33	2.33	4.0
Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop	3.0	1.0	1.33	4.33	6.0	3.0
First-Line Supervisors of Housekeeping and Janitorial Workers	5.0	1.33	1.33	2.67	7.0	5.33
First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers	5.67	2.0	1.33	2.67	7.0	5.0
Janitors and Cleaners, Except Maids and Housekeeping Cleaners	6.67	1.0	1.0	1.33	2.67	3.67
Maids and Housekeeping Cleaners	6.67	1.33	1.0	3.0	2.33	5.0
Pest Control Workers	7.0	2.0	1.33	2.0	3.0	4.0
Landscaping and Groundskeeping Workers	7.0	3.0	3.0	1.33	2.67	4.33
Pesticide Handlers, Sprayers, and Applicators, Vegetation	6.67	2.67	1.0	1.0	2.33	3.67
Tree Trimmers and Pruners	7.0	1.33	1.33	1.33	2.33	2.33
Gaming Supervisors	3.33	1.33	1.33	3.67	7.0	5.0
Slot Supervisors	6.33	1.67	1.0	2.67	4.67	6.33
First-Line Supervisors of Personal Service Workers	2.33	1.0	2.33	4.67	7.0	5.0
Spa Managers	3.33	1.0	2.0	4.33	7.0	5.0
Animal Trainers	7.0	3.67	2.0	3.67	2.67	3.67
Nonfarm Animal Caretakers	6.67	2.33	1.0	3.33	3.0	5.33
Gaming Dealers	5.0	2.0	1.0	2.33	5.33	7.0
Gaming and Sports Book Writers and Runners	4.33	1.0	1.33	3.0	5.33	6.67
Motion Picture Projectionists	6.67	3.0	1.33	1.0	1.67	5.0
Ushers, Lobby Attendants, and Ticket Takers	4.33	1.0	1.33	5.0	4.67	5.0
Amusement and Recreation Attendants	4.33	1.0	1.33	3.33	6.0	5.33
Costume Attendants	4.67	1.0	3.67	3.33	2.33	6.67
Locker Room, Coatroom, and Dressing Room Attendants	2.33	1.0	1.33	6.33	4.33	3.33
Embalmers	6.67	4.0	1.33	3.0	3.33	4.67
Funeral Attendants	4.33	1.0	2.0	6.33	4.33	2.67
Morticians, Undertakers, and Funeral Directors	3.0	1.0	1.67	5.33	7.0	4.33
Barbers	6.0	1.67	2.33	3.33	4.33	4.33
Hairdressers, Hairstylists, and Cosmetologists	4.33	1.33	6.33	4.67	5.33	3.33
Makeup Artists, Theatrical and Performance	5.0	2.0	7.0	3.0	2.67	1.0
Manicurists and Pedicurists	5.67	1.0	2.33	4.33	5.0	4.33
Shampooers	5.67	1.0	1.0	3.67	4.0	4.0
Skincare Specialists	4.67	1.0	3.33	4.67	6.67	2.0
Baggage Porters and Bellhops	7.0	1.0	1.0	3.33	3.0	4.33
Concierges	2.67	1.0	2.67	5.67	5.33	3.33
Tour Guides and Escorts	2.33	1.33	2.67	6.67	4.67	1.33
Travel Guides	3.0	2.0	2.67	4.0	6.33	5.67
Childcare Workers	2.67	1.67	5.0	7.0	3.0	3.33
Nannies	2.67	1.33	4.0	7.0	4.0	4.0
Personal Care Aides	5.33	1.67	1.33	7.0	2.33	4.33
Fitness Trainers and Aerobics Instructors	5.33	1.67	3.0	7.0	4.33	1.33
Recreation Workers	3.67	1.0	4.33	6.33	5.67	2.33
Residential Advisors	2.33	1.33	2.67	6.67	5.33	4.67
First-Line Supervisors of Retail Sales Workers	3.0	1.0	1.67	4.33	7.0	5.33
First-Line Supervisors of Non-Retail Sales Workers	2.33	2.0	1.67	4.33	7.0	5.33
Cashiers	2.67	1.0	1.33	2.67	4.33	6.67
Gaming Change Persons and Booth Cashiers	3.33	1.0	1.0	2.0	4.67	6.67
Counter and Rental Clerks	2.33	1.0	1.33	2.67	5.0	5.67
Parts Salespersons	4.0	1.33	1.0	3.0	6.67	6.0
Retail Salespersons	2.67	1.0	1.67	3.33	7.0	4.0
Advertising Sales Agents	1.0	2.0	4.33	2.33	7.0	4.67
Insurance Sales Agents	2.33	1.67	1.33	3.67	7.0	5.33
Sales Agents, Securities and Commodities	1.33	2.33	1.33	3.33	7.0	5.67
Sales Agents, Financial Services	1.0	2.0	2.0	3.0	7.0	4.33
Securities and Commodities Traders	1.0	1.33	1.0	2.33	6.67	4.67
Travel Agents	2.33	1.33	2.67	3.67	7.0	5.67
Energy Brokers	2.33	1.67	1.67	3.33	7.0	5.0
Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products	3.33	3.33	1.67	2.67	7.0	5.33
Solar Sales Representatives and Assessors	3.0	2.0	1.67	2.67	6.67	3.67
Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products	3.67	2.0	1.0	3.0	6.0	6.33
Demonstrators and Product Promoters	3.67	1.0	2.0	2.67	7.0	5.0
Models	4.67	1.0	6.33	1.33	5.33	2.67
Real Estate Brokers	3.33	1.0	1.33	3.33	7.0	5.67
Real Estate Sales Agents	3.33	1.33	1.67	3.67	7.0	5.33
Sales Engineers	5.0	4.0	2.0	2.33	7.0	3.0
Telemarketers	3.33	1.0	1.33	2.33	7.0	5.67
Door-To-Door Sales Workers, News and Street Vendors, and Related Workers	3.0	1.0	2.33	3.0	7.0	4.67
First-Line Supervisors of Office and Administrative Support Workers	1.67	1.33	1.67	4.33	6.67	5.67
Switchboard Operators, Including Answering Service	3.0	1.0	1.0	3.67	4.67	6.67
Telephone Operators	4.0	1.0	1.33	4.33	4.0	6.67
Bill and Account Collectors	2.0	1.33	1.0	2.33	5.67	6.67
Statement Clerks	2.67	2.0	1.33	4.0	5.33	7.0
Billing, Cost, and Rate Clerks	3.0	2.33	1.0	2.33	5.0	7.0
Bookkeeping, Accounting, and Auditing Clerks	2.33	2.33	1.0	1.67	3.67	7.0
Gaming Cage Workers	4.0	1.33	1.0	2.67	4.67	7.0
Payroll and Timekeeping Clerks	1.67	1.0	1.0	2.0	3.67	7.0
Procurement Clerks	2.0	1.67	1.0	1.0	4.33	7.0
Tellers	2.67	1.33	1.0	2.0	4.67	6.67
Brokerage Clerks	2.67	1.67	1.0	3.0	5.33	7.0
Correspondence Clerks	2.67	2.33	2.0	2.67	4.33	6.67
Court Clerks	3.67	2.0	1.0	3.33	4.33	7.0
Municipal Clerks	2.0	3.0	1.33	3.0	5.0	7.0
License Clerks	1.33	1.33	1.0	3.0	4.67	6.67
Credit Authorizers	1.67	1.33	1.0	2.33	5.0	6.33
Credit Checkers	2.0	2.67	1.0	3.0	5.33	6.67
Customer Service Representatives	1.67	1.33	1.0	4.33	6.33	4.33
Patient Representatives	1.0	2.33	1.67	6.67	3.67	2.0
Eligibility Interviewers, Government Programs	1.33	1.0	1.67	6.0	4.33	5.67
File Clerks	4.67	2.33	1.0	2.33	3.67	7.0
Hotel, Motel, and Resort Desk Clerks	2.33	1.0	1.33	4.0	5.33	6.0
Interviewers, Except Eligibility and Loan	1.33	1.33	1.33	4.67	5.33	6.0
Library Assistants, Clerical	5.33	1.67	1.0	4.0	2.67	7.0
Loan Interviewers and Clerks	1.33	1.33	1.0	2.67	4.67	7.0
New Accounts Clerks	2.33	2.0	1.0	4.33	5.67	6.67
Order Clerks	3.0	1.33	1.33	4.0	5.0	7.0
Human Resources Assistants, Except Payroll and Timekeeping	1.33	1.67	1.0	3.33	4.67	7.0
Receptionists and Information Clerks	1.67	1.0	1.0	3.33	5.33	6.67
Reservation and Transportation Ticket Agents and Travel Clerks	1.67	1.33	1.67	4.0	5.67	6.33
Cargo and Freight Agents	3.67	1.67	1.0	2.33	5.67	6.33
Freight Forwarders	2.67	3.0	1.33	2.33	4.67	6.67
Couriers and Messengers	7.0	1.0	1.0	1.67	3.0	3.33
Police, Fire, and Ambulance Dispatchers	4.67	2.67	1.0	3.33	4.0	6.67
Dispatchers, Except Police, Fire, and Ambulance	4.0	1.67	1.0	3.0	4.0	6.67
Meter Readers, Utilities	5.33	1.67	1.0	2.67	2.67	7.0
Postal Service Clerks	3.67	1.0	1.33	3.0	2.67	7.0
Postal Service Mail Carriers	5.67	1.33	1.0	3.0	3.33	6.33
Postal Service Mail Sorters, Processors, and Processing Machine Operators	4.67	1.0	1.0	1.33	2.33	7.0
Production, Planning, and Expediting Clerks	2.67	1.67	1.0	1.67	5.33	6.67
Shipping, Receiving, and Traffic Clerks	5.0	1.0	1.0	1.0	3.67	6.33
Stock Clerks, Sales Floor	5.33	1.33	1.33	2.67	4.67	6.0
Marking Clerks	4.67	1.0	1.0	1.0	2.67	5.33
Stock Clerks- Stockroom, Warehouse, or Storage Yard	6.33	1.0	1.0	1.33	2.67	6.33
Order Fillers, Wholesale and Retail Sales	5.33	1.67	1.0	2.0	3.33	7.0
Weighers, Measurers, Checkers, and Samplers, Recordkeeping	4.67	2.0	1.0	1.67	3.33	7.0
Executive Secretaries and Executive Administrative Assistants	2.67	2.67	1.33	3.33	4.67	7.0
Legal Secretaries	2.33	2.0	1.0	2.33	4.33	7.0
Medical Secretaries	3.0	3.33	1.33	4.33	3.33	7.0
Secretaries and Administrative Assistants, Except Legal, Medical, and Executive	1.33	1.0	1.33	3.0	5.0	7.0
Computer Operators	5.33	3.67	1.0	2.0	3.33	7.0
Data Entry Keyers	4.33	2.67	1.0	1.0	3.33	7.0
Word Processors and Typists	1.33	1.0	1.0	1.33	2.67	7.0
Desktop Publishers	3.33	4.0	6.0	1.33	2.0	3.67
Insurance Claims Clerks	1.0	2.0	1.0	3.0	4.67	6.67
Insurance Policy Processing Clerks	1.0	1.67	1.0	2.33	4.33	7.0
Mail Clerks and Mail Machine Operators, Except Postal Service	6.0	2.33	1.33	1.33	2.33	6.67
Office Clerks, General	3.67	1.67	1.0	3.67	4.33	7.0
Office Machine Operators, Except Computer	6.0	1.0	1.0	1.67	2.67	5.67
Proofreaders and Copy Markers	1.33	1.67	3.33	2.67	2.67	6.67
Statistical Assistants	2.67	5.33	2.0	1.33	3.67	7.0
Bioinformatics Technicians	4.33	6.33	1.67	1.33	1.67	4.0
First-Line Supervisors of Logging Workers	5.67	2.0	1.33	3.0	7.0	4.33
First-Line Supervisors of Aquacultural Workers	5.33	2.67	1.0	2.33	7.0	5.0
First-Line Supervisors of Agricultural Crop and Horticultural Workers	6.33	2.33	1.0	2.33	5.33	4.67
First-Line Supervisors of Animal Husbandry and Animal Care Workers	6.0	2.33	1.0	2.0	6.67	3.33
Agricultural Inspectors	6.67	4.0	1.33	1.67	3.33	4.33
Animal Breeders	6.67	3.67	1.33	1.0	2.67	2.67
Graders and Sorters, Agricultural Products	6.0	3.0	1.33	1.0	1.67	5.67
Agricultural Equipment Operators	7.0	1.67	1.0	1.0	1.67	2.0
Nursery Workers	7.0	1.33	1.0	1.0	1.33	2.0
Farmworkers and Laborers, Crop	7.0	1.33	1.0	1.0	1.0	2.0
Farmworkers, Farm, Ranch, and Aquacultural Animals	7.0	1.33	1.0	1.0	1.33	2.33
Fishers and Related Fishing Workers	7.0	2.0	1.0	1.0	2.33	1.67
Hunters and Trappers	7.0	2.33	1.67	1.0	1.67	1.67
Forest and Conservation Workers	7.0	3.67	1.33	1.67	3.0	4.67
Fallers	7.0	2.0	1.0	1.0	2.0	3.33
Logging Equipment Operators	7.0	3.67	1.0	1.0	1.67	3.67
Log Graders and Scalers	6.0	2.0	1.0	1.0	3.0	4.67
First-Line Supervisors of Construction Trades and Extraction Workers	5.67	1.67	1.0	2.33	7.0	4.67
Solar Energy Installation Managers	4.33	2.33	1.33	2.33	6.67	3.0
Boilermakers	7.0	1.67	1.0	1.0	1.67	2.67
Brickmasons and Blockmasons	7.0	4.33	2.67	1.0	1.33	4.33
Stonemasons	7.0	1.0	2.0	1.33	2.0	2.0
Construction Carpenters	7.0	3.67	2.67	1.0	1.67	4.67
Rough Carpenters	7.0	4.67	2.33	1.0	1.67	4.67
Carpet Installers	7.0	1.33	1.33	1.67	3.0	2.67
Floor Layers, Except Carpet, Wood, and Hard Tiles	7.0	3.0	2.33	1.0	1.33	5.33
Floor Sanders and Finishers	7.0	1.0	1.0	1.0	1.33	2.0
Tile and Marble Setters	7.0	2.67	3.67	1.33	1.67	4.67
Cement Masons and Concrete Finishers	7.0	1.67	1.33	1.0	3.0	2.67
Terrazzo Workers and Finishers	7.0	1.0	2.0	1.0	1.67	2.0
Construction Laborers	7.0	1.0	1.0	1.0	2.33	2.67
Paving, Surfacing, and Tamping Equipment Operators	7.0	1.0	1.0	1.0	2.33	2.67
Pile-Driver Operators	7.0	3.33	1.33	1.0	1.67	3.67
Operating Engineers and Other Construction Equipment Operators	7.0	3.33	1.0	1.0	1.67	4.33
Drywall and Ceiling Tile Installers	7.0	3.0	2.0	1.33	2.0	5.33
Tapers	7.0	1.67	1.0	1.0	1.67	2.33
Electricians	7.0	3.33	1.33	1.33	2.67	3.33
Glaziers	7.0	1.33	1.0	1.0	2.0	2.67
Insulation Workers, Floor, Ceiling, and Wall	6.67	1.33	1.0	1.0	1.67	2.33
Insulation Workers, Mechanical	7.0	4.0	1.67	1.0	1.67	5.0
Painters, Construction and Maintenance	7.0	1.0	1.67	1.0	1.67	2.67
Paperhangers	7.0	2.33	2.0	1.0	2.0	4.67
Pipelayers	7.0	1.33	1.0	1.33	2.33	2.33
Pipe Fitters and Steamfitters	7.0	2.0	1.33	1.0	2.0	3.0
Plumbers	7.0	4.33	1.67	1.0	2.33	5.0
Plasterers and Stucco Masons	7.0	1.0	2.33	1.0	2.0	2.33
Reinforcing Iron and Rebar Workers	7.0	3.33	1.67	1.0	1.0	4.67
Roofers	7.0	2.0	1.0	1.0	1.67	2.67
Sheet Metal Workers	7.0	1.33	1.67	1.0	1.67	2.0
Structural Iron and Steel Workers	7.0	3.0	1.33	1.0	2.0	3.0
Solar Photovoltaic Installers	6.67	2.67	1.33	1.67	1.67	4.0
Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters	7.0	1.0	1.0	1.33	1.67	2.33
Helpers--Carpenters	7.0	2.0	1.33	1.33	2.33	4.33
Helpers--Electricians	6.67	2.67	1.33	1.33	1.67	3.33
Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons	6.67	1.0	1.67	1.33	2.33	2.67
Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters	7.0	1.33	1.0	1.0	1.67	2.33
Helpers--Roofers	7.0	2.0	1.0	2.0	2.0	4.33
Construction and Building Inspectors	7.0	4.67	1.33	1.0	2.67	6.0
Elevator Installers and Repairers	7.0	5.0	1.67	1.0	2.33	4.67
Fence Erectors	7.0	2.67	1.33	1.0	2.67	4.67
Hazardous Materials Removal Workers	6.67	3.0	1.0	1.67	2.33	3.67
Highway Maintenance Workers	7.0	3.0	1.0	1.33	2.33	4.33
Rail-Track Laying and Maintenance Equipment Operators	7.0	1.33	1.0	1.0	1.67	2.33
Septic Tank Servicers and Sewer Pipe Cleaners	7.0	1.67	1.0	1.33	2.67	2.33
Segmental Pavers	7.0	1.0	1.67	1.0	2.33	2.67
Solar Thermal Installers and Technicians	6.67	2.33	1.0	2.0	2.0	4.0
Weatherization Installers and Technicians	6.67	2.67	1.0	2.33	2.67	4.0
Derrick Operators, Oil and Gas	7.0	4.0	1.0	1.33	2.33	4.33
Rotary Drill Operators, Oil and Gas	7.0	2.0	1.0	2.0	4.0	3.33
Service Unit Operators, Oil, Gas, and Mining	7.0	3.67	1.0	1.33	2.33	4.33
Earth Drillers, Except Oil and Gas	7.0	5.0	2.0	1.0	1.33	4.33
Explosives Workers, Ordnance Handling Experts, and Blasters	6.67	5.67	1.33	1.33	2.33	4.67
Continuous Mining Machine Operators	7.0	3.33	1.0	1.0	2.0	3.67
Mine Cutting and Channeling Machine Operators	7.0	1.33	1.0	1.0	1.33	2.0
Rock Splitters, Quarry	7.0	2.67	1.33	1.0	1.33	3.67
Roof Bolters, Mining	7.0	1.33	1.0	1.0	1.33	2.67
Roustabouts, Oil and Gas	7.0	1.33	1.0	1.0	1.33	2.0
Helpers--Extraction Workers	7.0	2.67	1.0	2.0	2.0	4.33
First-Line Supervisors of Mechanics, Installers, and Repairers	4.67	2.33	1.0	2.67	7.0	5.67
Computer, Automated Teller, and Office Machine Repairers	7.0	4.67	1.33	2.0	2.67	5.0
Radio, Cellular, and Tower Equipment Installers and Repairers	7.0	2.33	1.0	1.67	2.0	3.0
